CustomerID,Name,Email,Product,Rating,Feedback,Date
1,Denise Newman,cfrey@example.org,Monitor,2,Pm family say arrive thing me blood return whole figure.,2026-01-02
2,Tiffany Eaton,uramirez@example.org,Water Bottle,5,Their either always move edge.,2026-01-03
3,Laura Banks,christinaguerrero@example.org,Router,4,Stop whether chair claim much.,2026-01-04
4,Christopher Clark,mitchellricky@example.net,Printer,5,Recent good list participant involve his something.,2026-01-05
5,Scott Vincent,pthomas@example.org,Smart TV,5,Per form edge me hundred buy relationship section interview.,2026-01-06
6,Danny Hill,rspence@example.com,Bluetooth Speaker,2,Attention he adult myself.,2026-01-07
7,Mitchell Snyder,dhuang@example.net,Vacuum Cleaner,3,Peace available blood anyone size trouble sell early seat.,2026-01-08
8,Robert Lee,davisjeffrey@example.net,Water Bottle,3,Prepare position million exactly we direction say war allow cultural.,2026-01-09
9,Angela Yu,jamesrichardson@example.org,Keyboard,2,Community past foot bed executive.,2026-01-10
10,Megan Sullivan,martinjoshua@example.net,Keyboard,1,Leave hear bank family nation full pull.,2026-01-11
11,Catherine Farrell,josedavidson@example.com,Power Bank,4,Nor employee action street help side fire sort nature general.,2026-01-12
12,Amanda Hines,thomas49@example.net,Wireless Earbuds,5,Color something drop check whole across hold compare will year.,2026-01-13
13,Tracy Jones,patricia07@example.com,Laptop Sleeve,2,Stuff final over leader occur.,2026-01-14
14,Leon Henry,juliecunningham@example.org,Laptop Sleeve,5,Bed wife house capital test weight successful quickly.,2026-01-15
15,Erin Dunn,iowens@example.net,Power Bank,2,Instead could song research capital evidence.,2026-01-16
16,Julie Pittman,margaret07@example.com,Keyboard,3,Tonight child heart make network industry agreement Congress.,2026-01-17
17,Amy Barnes,ramoscorey@example.org,Power Bank,3,Know political official window girl toward analysis relate woman condition.,2026-01-18
18,Tiffany Baldwin,vpalmer@example.net,Headphones,3,Nor exist back situation.,2026-01-19
19,Mary Tran,jordangary@example.net,Power Bank,1,Usually beat hit color always during tree five family else.,2026-01-20
20,Tracy White,melendezbenjamin@example.org,Vacuum Cleaner,5,Maybe only future member evening challenge raise family teach south care.,2026-01-21
21,Annette Evans,williamleblanc@example.net,Office Chair,2,Chance sign federal so agreement citizen each voice realize enough.,2026-01-22
22,Donald Torres,stanleytimothy@example.com,Tablet Stand,2,Perhaps trouble save note each contain.,2026-01-23
23,Judith Bradley,lopezdavid@example.com,Smart TV,5,Religious beautiful station customer together respond simply letter.,2026-01-24
24,Haley Alvarado,anthony01@example.org,Mouse,5,Water toward development throughout politics town voice buy myself themselves.,2026-01-25
25,William Gill,rachael20@example.com,Keyboard,2,Would oil phone minute discuss floor tell lawyer.,2026-01-26
26,Desiree Payne,courtney08@example.com,Backpack,1,Alone church election author hour yourself play place yet.,2026-01-27
27,Erin Morris,william79@example.net,Router,1,Day agency expert himself including ago four loss vote.,2026-01-28
28,Amanda Martinez,cody90@example.net,Printer,2,For else sister central could character seem nearly claim soon.,2026-01-29
29,George Hicks,wagneraustin@example.com,Power Bank,3,Force control commercial reason laugh movement.,2026-01-30
30,Christopher Drake,josephwagner@example.net,Power Bank,5,People recently hot manage out issue lose citizen positive.,2026-01-31
31,Jeffrey King,zgarcia@example.net,Smartphone,5,Focus involve say become mind.,2026-02-01
32,David Daniel,hannah14@example.com,Smartphone,3,Face watch company stay seek.,2026-02-02
33,Katherine Rodriguez,adamsmichelle@example.net,Power Bank,5,Plant difference create also impact.,2026-02-03
34,Makayla Schroeder,kristi65@example.net,Office Chair,4,Throughout difficult generation television rise drop modern.,2026-02-04
35,Jennifer Carrillo,mcgeetodd@example.org,Phone Case,5,Dream measure build thought human response.,2026-02-05
36,Joseph Berger,jessica54@example.com,Tablet Stand,1,Body hold yet know can tree boy catch.,2026-02-06
37,Brittany Arnold,candicewoodward@example.org,Bluetooth Speaker,4,Success science official among.,2026-02-07
38,Diane Mccoy,ashley60@example.net,Smartwatch,5,Natural fill example seek theory.,2026-02-08
39,Stephanie Blackwell,vasquezteresa@example.net,Water Bottle,3,Might tonight no between down education.,2026-02-09
40,Alison Barr,alexanderhawkins@example.com,Smartwatch,2,West something whom party hear.,2026-02-10
41,John Lee,benjamintownsend@example.net,Smartwatch,5,Financial read church house piece without situation factor offer card.,2026-02-11
42,Andrea Martinez,kenneth37@example.com,Power Bank,4,Thing truth prepare girl whole job less analysis.,2026-02-12
43,Travis Diaz,steve62@example.net,Mouse,3,Smile leader make hit occur and.,2026-02-13
44,Matthew Larsen,pcherry@example.com,Printer,5,Usually even best city TV event affect business budget sea.,2026-02-14
45,Brianna Rodriguez,uthomas@example.org,Wireless Earbuds,3,Challenge push visit control suggest soon area keep.,2026-02-15
46,Diane Williams,egarcia@example.com,Smartphone,3,We over budget industry.,2026-02-16
47,Katherine Anderson,kathy33@example.com,Wireless Earbuds,2,Difference take reveal analysis stage event star.,2026-02-17
48,Jeffery Thomas,perkinsmario@example.com,Router,5,Admit year himself go soldier book fine.,2026-02-18
49,Anthony Ross,cconrad@example.net,Desk Lamp,4,Each discover fill visit feeling.,2026-02-19
50,Gwendolyn Bradley,solisray@example.net,Keyboard,2,Agreement doctor clear position language indeed.,2026-02-20
51,Andrew Wallace,maryrodriguez@example.net,Desk Lamp,5,Feeling order organization amount system now set.,2026-02-21
52,Laura Park,julie15@example.org,Tablet Stand,2,Pattern collection great four indeed drive such.,2026-02-22
53,Nicole Fisher,michaelwilson@example.com,Wireless Earbuds,1,Perform American speak power sing plan cover include church gun.,2026-02-23
54,Anthony Adkins,leestacy@example.org,Backpack,5,Focus especially interest maybe suddenly enter good throughout country quality.,2026-02-24
55,Johnny Powers,fnguyen@example.org,Vacuum Cleaner,5,Own doctor despite much morning movement who hospital test.,2026-02-25
56,Jonathan Crawford,isabelwilliams@example.org,Tablet Stand,4,Popular than deep represent son kind feeling.,2026-02-26
57,Allen Johnson,barnesnicholas@example.net,Headphones,5,Natural tough tree some visit.,2026-02-27
